#category,term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO Process,GO:0018105,Peptidyl-serine phosphorylation,7,177,1.99,5.90E-10,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0046825,Regulation of protein export from nucleus,2,42,2.07,0.0226,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Process,GO:0048699,Generation of neurons,5,1551,0.9,0.0231,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,SGK1,CSNK1E,CDK5"
GO Process,GO:0032268,Regulation of cellular protein metabolic process,6,2693,0.74,0.0234,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,CSNK1E,CDK5"
GO Process,GO:0032879,Regulation of localization,6,2740,0.73,0.0249,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0006974,Cellular response to DNA damage stimulus,4,793,1.09,0.025,"9606.ENSP00000278568,9606.ENSP00000342105,9606.ENSP00000356832,9606.ENSP00000380044","PAK1,DYRK2,SGK1,CSNK1E"
GO Process,GO:0032270,Positive regulation of cellular protein metabolic process,5,1635,0.87,0.0272,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,PKN1,CSNK1E,CDK5"
GO Process,GO:0009967,Positive regulation of signal transduction,5,1654,0.87,0.0283,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000380044","CSNK2A1,PAK1,GSK3B,PKN1,CSNK1E"
GO Process,GO:0035556,Intracellular signal transduction,5,1712,0.85,0.0309,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832","PAK1,GSK3B,DYRK2,PKN1,SGK1"
GO Process,GO:0031329,Regulation of cellular catabolic process,4,875,1.05,0.0324,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
GO Process,GO:0010721,Negative regulation of cell development,3,330,1.35,0.0333,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
GO Process,GO:1901653,Cellular response to peptide,3,331,1.35,0.0333,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
GO Process,GO:0051050,Positive regulation of transport,4,923,1.03,0.0374,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000356832,9606.ENSP00000419782","PAK1,GSK3B,SGK1,CDK5"
GO Process,GO:0016055,Wnt signaling pathway,3,351,1.32,0.0379,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
GO Process,GO:0044093,Positive regulation of molecular function,5,1842,0.82,0.0379,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000419782","PAK1,GSK3B,PKN1,SGK1,CDK5"
GO Process,GO:0060079,Excitatory postsynaptic potential,2,64,1.88,0.0379,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Process,GO:2000145,Regulation of cell motility,4,929,1.02,0.0379,"9606.ENSP00000278568,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000419782","PAK1,PKN1,SGK1,CDK5"
GO Process,GO:0030111,Regulation of Wnt signaling pathway,3,370,1.3,0.04,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
GO Process,GO:0043507,Positive regulation of JUN kinase activity,2,73,1.83,0.0426,"9606.ENSP00000278568,9606.ENSP00000343325","PAK1,PKN1"
GO Process,GO:0065009,Regulation of molecular function,7,4913,0.54,0.0426,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,SGK1,CSNK1E,CDK5"
GO Process,GO:0032269,Negative regulation of cellular protein metabolic process,4,1043,0.97,0.0476,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000419782","CSNK2A1,GSK3B,PKN1,CDK5"
GO Process,GO:0051338,Regulation of transferase activity,4,1036,0.98,0.0476,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000419782","PAK1,GSK3B,PKN1,CDK5"
GO Process,GO:2000300,Regulation of synaptic vesicle exocytosis,2,80,1.79,0.0476,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Process,GO:0021766,Hippocampus development,2,81,1.78,0.048,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Function,GO:0004674,Protein serine/threonine kinase activity,8,437,1.65,2.17E-10,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Function,GO:0005524,ATP binding,8,1464,1.13,5.42E-07,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Function,GO:0050321,Tau-protein kinase activity,2,22,2.35,0.0062,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Function,GO:0019901,Protein kinase binding,4,653,1.18,0.0107,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000419782","PAK1,GSK3B,PKN1,CDK5"
GO Function,GO:0051879,Hsp90 protein binding,2,42,2.07,0.0164,"9606.ENSP00000217244,9606.ENSP00000419782","CSNK2A1,CDK5"
GO Function,GO:0004712,Protein serine/threonine/tyrosine kinase activity,2,45,2.04,0.0181,"9606.ENSP00000342105,9606.ENSP00000356832","DYRK2,SGK1"
GO Function,GO:0048156,Tau protein binding,2,45,2.04,0.0181,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Function,GO:0002039,p53 binding,2,69,1.85,0.0386,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
GO Component,GO:0005654,Nucleoplasm,8,3973,0.69,0.0049,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
GO Component,GO:0005829,Cytosol,8,5193,0.58,0.014,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
KEGG,hsa05010,Alzheimer disease,4,355,1.44,0.0025,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
KEGG,hsa04310,Wnt signaling pathway,3,154,1.68,0.0046,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
KEGG,hsa04360,Axon guidance,3,177,1.62,0.0046,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
KEGG,hsa04392,Hippo signaling pathway - multiple species,2,27,2.26,0.005,"9606.ENSP00000278568,9606.ENSP00000380044","PAK1,CSNK1E"
KEGG,hsa04340,Hedgehog signaling pathway,2,47,2.02,0.0114,"9606.ENSP00000324806,9606.ENSP00000380044","GSK3B,CSNK1E"
KEGG,hsa04151,PI3K-Akt signaling pathway,3,350,1.32,0.0171,"9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832","GSK3B,PKN1,SGK1"
KEGG,hsa04012,ErbB signaling pathway,2,83,1.77,0.0246,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
KEGG,hsa04660,T cell receptor signaling pathway,2,101,1.69,0.0316,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
KEGG,hsa04068,FoxO signaling pathway,2,127,1.59,0.0426,"9606.ENSP00000356832,9606.ENSP00000380044","SGK1,CSNK1E"
KEGG,hsa05135,Yersinia infection,2,125,1.59,0.0426,"9606.ENSP00000324806,9606.ENSP00000343325","GSK3B,PKN1"
KEGG,hsa05162,Measles,2,138,1.55,0.0426,"9606.ENSP00000217244,9606.ENSP00000324806","CSNK2A1,GSK3B"
KEGG,hsa04150,mTOR signaling pathway,2,151,1.51,0.0461,"9606.ENSP00000324806,9606.ENSP00000356832","GSK3B,SGK1"
KEGG,hsa04390,Hippo signaling pathway,2,153,1.5,0.0461,"9606.ENSP00000324806,9606.ENSP00000380044","GSK3B,CSNK1E"
Reactome,HSA-5633007,Regulation of TP53 Activity,4,159,1.79,0.00069,"9606.ENSP00000217244,9606.ENSP00000342105,9606.ENSP00000356832,9606.ENSP00000419782","CSNK2A1,DYRK2,SGK1,CDK5"
Reactome,HSA-373755,Semaphorin interactions,3,64,2.06,0.0023,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","PAK1,GSK3B,CDK5"
Reactome,HSA-162582,Signal Transduction,7,2741,0.8,0.0044,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,PKN1,SGK1,CSNK1E,CDK5"
Reactome,HSA-201688,WNT mediated activation of DVL,2,8,2.79,0.0044,"9606.ENSP00000217244,9606.ENSP00000380044","CSNK2A1,CSNK1E"
Reactome,HSA-6804756,Regulation of TP53 Activity through Phosphorylation,3,92,1.9,0.0044,"9606.ENSP00000217244,9606.ENSP00000342105,9606.ENSP00000419782","CSNK2A1,DYRK2,CDK5"
Reactome,HSA-399956,CRMPs in Sema3A signaling,2,16,2.49,0.0069,"9606.ENSP00000324806,9606.ENSP00000419782","GSK3B,CDK5"
Reactome,HSA-212436,Generic Transcription Pathway,5,1197,1.01,0.01,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000356832,9606.ENSP00000419782","CSNK2A1,GSK3B,DYRK2,SGK1,CDK5"
Reactome,HSA-422475,Axon guidance,4,547,1.25,0.01,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,CDK5"
Reactome,HSA-445144,Signal transduction by L1,2,21,2.37,0.01,"9606.ENSP00000217244,9606.ENSP00000278568","CSNK2A1,PAK1"
Reactome,HSA-201681,TCF dependent signaling in response to WNT,3,199,1.57,0.0106,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
Reactome,HSA-9031628,NGF-stimulated transcription,2,39,2.1,0.0172,"9606.ENSP00000356832,9606.ENSP00000419782","SGK1,CDK5"
Reactome,HSA-5625740,RHO GTPases activate PKNs,2,63,1.89,0.0362,"9606.ENSP00000278568,9606.ENSP00000343325","PAK1,PKN1"
WikiPathways,WP2059,Alzheimers disease and miRNA effects,4,258,1.58,0.0014,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
WikiPathways,WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,3,93,1.9,0.0014,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
WikiPathways,WP4336,ncRNAs involved in Wnt signaling in hepatocellular carcinoma,3,85,1.94,0.0014,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
WikiPathways,WP5124,Alzheimers disease,4,255,1.58,0.0014,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
WikiPathways,WP428,Wnt signaling,3,114,1.81,0.0015,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044","CSNK2A1,GSK3B,CSNK1E"
WikiPathways,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,3,143,1.71,0.0025,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000419782","CSNK2A1,GSK3B,CDK5"
WikiPathways,WP2583,T cell receptor and co-stimulatory signaling,2,28,2.24,0.0061,"9606.ENSP00000324806,9606.ENSP00000342105","GSK3B,DYRK2"
WikiPathways,WP3298,Melatonin metabolism and effects,2,35,2.15,0.0082,"9606.ENSP00000324806,9606.ENSP00000380044","GSK3B,CSNK1E"
WikiPathways,WP2038,Microtubule cytoskeleton regulation,2,46,2.03,0.0123,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
WikiPathways,WP363,Wnt signaling pathway,2,51,1.98,0.0135,"9606.ENSP00000324806,9606.ENSP00000380044","GSK3B,CSNK1E"
WikiPathways,WP3863,T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection,2,60,1.91,0.0167,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
WikiPathways,WP4172,PI3K-Akt signaling pathway,3,336,1.34,0.0167,"9606.ENSP00000324806,9606.ENSP00000343325,9606.ENSP00000356832","GSK3B,PKN1,SGK1"
WikiPathways,WP3680,Physico-chemical features and toxicity-associated pathways,2,66,1.87,0.0171,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
WikiPathways,WP2037,Prolactin signaling pathway,2,76,1.81,0.0209,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
WikiPathways,WP673,ErbB signaling pathway,2,90,1.74,0.0272,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
WikiPathways,WP399,Wnt signaling pathway and pluripotency,2,101,1.69,0.0319,"9606.ENSP00000324806,9606.ENSP00000380044","GSK3B,CSNK1E"
WikiPathways,WP4659,Gastrin signaling pathway,2,114,1.63,0.038,"9606.ENSP00000278568,9606.ENSP00000324806","PAK1,GSK3B"
COMPARTMENTS,GOCC:0005634,Nucleus,8,4636,0.63,0.0231,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
UniProt Keywords,KW-0723,Serine/threonine-protein kinase,8,387,1.7,1.73E-11,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
UniProt Keywords,KW-0067,ATP-binding,8,1368,1.16,1.32E-07,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
UniProt Keywords,KW-0090,Biological rhythms,4,145,1.83,2.48E-05,"9606.ENSP00000217244,9606.ENSP00000324806,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,GSK3B,CSNK1E,CDK5"
UniProt Keywords,KW-0053,Apoptosis,5,529,1.36,7.49E-05,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000342105,9606.ENSP00000356832,9606.ENSP00000419782","CSNK2A1,PAK1,DYRK2,SGK1,CDK5"
UniProt Keywords,KW-0539,Nucleus,8,5208,0.57,0.0021,"9606.ENSP00000217244,9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","CSNK2A1,PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
UniProt Keywords,KW-0963,Cytoplasm,7,5028,0.53,0.0346,"9606.ENSP00000278568,9606.ENSP00000324806,9606.ENSP00000342105,9606.ENSP00000343325,9606.ENSP00000356832,9606.ENSP00000380044,9606.ENSP00000419782","PAK1,GSK3B,DYRK2,PKN1,SGK1,CSNK1E,CDK5"
